# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0308,1.13044,0.871646
0.0309,0.760066,0.872107
0.031,0.862456,0.871726
0.0311,0.990301,0.872068
0.0312,1.05665,0.873017
0.0313,0.642979,0.872871
0.0314,1.28717,0.873449
0.0315,1.05181,0.875303
0.0316,1.20675,0.876894
0.0317,1.15239,0.87879
0.0318,1.01446,0.880072
0.0319,1.13438,0.881289
0.032,1.17565,0.883003
0.0321,1.21693,0.884966
0.0322,0.883496,0.886001
0.0323,0.713885,0.885454
0.0324,0.88941,0.884929
0.0325,0.856924,0.884855
0.0326,0.988031,0.885091
0.0327,0.905072,0.885476
0.0328,0.757928,0.885138
0.0329,0.923569,0.88486
0.033,1.21828,0.886025
0.0331,0.684883,0.886436
0.0332,0.926295,0.885929
0.0333,1.23397,0.887146
0.0334,1.06837,0.888799
0.0335,1.16872,0.890238
0.0336,0.918703,0.8912
0.0337,1.35534,0.892739
0.0338,1.00877,0.894552
0.0339,0.558916,0.893858
0.034,1.30438,0.894095
0.0341,1.20593,0.896356
0.0342,0.839377,0.897147
0.0343,1.25407,0.898084
0.0344,0.789562,0.898859
0.0345,1.12073,0.899212
0.0346,0.876301,0.899834
0.0347,0.933735,0.899866
0.0348,1.20041,0.900914
0.0349,1.05332,0.902329
0.035,1.28166,0.90399
0.0351,1.07786,0.905717
0.0352,1.33004,0.907585
0.0353,1.19811,0.909818
0.0354,0.82359,0.910451
0.0355,1.1934,0.911065
0.0356,1.16342,0.912739
0.0357,0.736681,0.912973
0.0358,1.04303,0.912828
0.0359,1.34716,0.914596
0.036,0.779651,0.915528
0.0361,0.883078,0.915001
0.0362,1.15827,0.915663
0.0363,1.17897,0.917247
0.0364,0.977758,0.918257
0.0365,0.938134,0.918505
0.0366,1.14077,0.919263
0.0367,0.980465,0.920148
0.0368,1.50233,0.92216
0.0369,1.03293,0.924324
0.037,1.10987,0.925245
0.0371,1.08272,0.926317
0.0372,0.909785,0.926755
0.0373,0.957232,0.926797
0.0374,0.816989,0.926548
0.0375,1.07661,0.926675
0.0376,0.766153,0.926642
0.0377,1.16946,0.9269
0.0378,1.06284,0.928085
0.0379,0.693633,0.927773
0.038,0.915356,0.927001
0.0381,0.967202,0.92709
0.0382,0.849986,0.926975
0.0383,1.06313,0.92716
0.0384,0.866664,0.927396
0.0385,1.0347,0.927542
0.0386,0.800212,0.927479
0.0387,0.84256,0.926814
0.0388,0.956805,0.926644
0.0389,0.977413,0.926898
0.039,0.873586,0.926889
0.0391,0.8308,0.926421
0.0392,0.771265,0.925636
0.0393,0.832391,0.92486
0.0394,1.11048,0.925152
0.0395,1.08952,0.926247
0.0396,0.85007,0.92652
0.0397,1.11083,0.926858
0.0398,0.841938,0.927168
0.0399,0.849881,0.926659
0.04,0.967076,0.926545
0.0401,0.894661,0.926572
0.0402,0.798363,0.926071
0.0403,0.97991,0.92584
0.0404,0.947828,0.926078
0.0405,0.834236,0.925858
0.0406,0.895881,0.925477
0.0407,1.02133,0.925685
0.0408,0.885898,0.92586
0.0409,1.12308,0.926352
0.041,1.01632,0.92725
0.0411,1.10051,0.928072
0.0412,1.04841,0.928989
0.0413,0.321771,0.927461
0.0414,0.929867,0.925572
0.0415,1.25604,0.92662
0.0416,0.843449,0.927391
0.0417,0.76237,0.926612
0.0418,0.996409,0.926316
0.0419,0.769413,0.926044
