# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0312,-0.940881,-0.639837
0.0313,-0.929777,-0.648977
0.0314,-0.917755,-0.657477
0.0315,-0.904827,-0.665328
0.0316,-0.891007,-0.672523
0.0317,-0.876307,-0.679054
0.0318,-0.860742,-0.684915
0.0319,-0.844328,-0.6901
0.032,-0.827081,-0.694603
0.0321,-0.809017,-0.698422
0.0322,-0.790155,-0.701551
0.0323,-0.770513,-0.703988
0.0324,-0.750111,-0.70573
0.0325,-0.728969,-0.706776
0.0326,-0.707107,-0.707125
0.0327,-0.684547,-0.706775
0.0328,-0.661312,-0.705728
0.0329,-0.637424,-0.703985
0.033,-0.612907,-0.701547
0.0331,-0.587785,-0.698416
0.0332,-0.562084,-0.694597
0.0333,-0.535827,-0.690092
0.0334,-0.509042,-0.684906
0.0335,-0.481754,-0.679044
0.0336,-0.453991,-0.672512
0.0337,-0.425779,-0.665316
0.0338,-0.397148,-0.657463
0.0339,-0.368125,-0.648962
0.034,-0.338738,-0.639821
0.0341,-0.309017,-0.630048
0.0342,-0.278991,-0.619653
0.0343,-0.24869,-0.608647
0.0344,-0.218143,-0.59704
0.0345,-0.187381,-0.584844
0.0346,-0.156435,-0.572071
0.0347,-0.125333,-0.558733
0.0348,-0.0941083,-0.544844
0.0349,-0.0627905,-0.530417
0.035,-0.0314108,-0.515467
0.0351,-4.64912e-07,-0.500008
0.0352,0.0314103,-0.484056
0.0353,0.0627906,-0.467626
0.0354,0.0941084,-0.450734
0.0355,0.125333,-0.433398
0.0356,0.156435,-0.415634
0.0357,0.187381,-0.39746
0.0358,0.218143,-0.378893
0.0359,0.24869,-0.359953
0.036,0.278991,-0.340657
0.0361,0.309017,-0.321026
0.0362,0.338737,-0.301077
0.0363,0.368124,-0.280832
0.0364,0.397148,-0.260309
0.0365,0.425779,-0.239529
0.0366,0.453991,-0.218513
0.0367,0.481754,-0.197281
0.0368,0.509042,-0.175855
0.0369,0.535827,-0.154255
0.037,0.562083,-0.132503
0.0371,0.587785,-0.11062
0.0372,0.612907,-0.0886283
0.0373,0.637424,-0.0665488
0.0374,0.661312,-0.0444036
0.0375,0.684547,-0.0222147
0.0376,0.707107,-3.78653e-06
0.0377,0.728969,0.0222071
0.0378,0.750111,0.044396
0.0379,0.770513,0.0665412
0.038,0.790155,0.0886206
0.0381,0.809017,0.110613
0.0382,0.827081,0.132495
0.0383,0.844328,0.154248
0.0384,0.860742,0.175847
0.0385,0.876307,0.197274
0.0386,0.891007,0.218505
0.0387,0.904827,0.239521
0.0388,0.917755,0.260301
0.0389,0.929776,0.280823
0.039,0.940881,0.301069
0.0391,0.951056,0.321017
0.0392,0.960294,0.340649
0.0393,0.968583,0.359944
0.0394,0.975917,0.378885
0.0395,0.982287,0.397451
0.0396,0.987688,0.415625
0.0397,0.992115,0.433389
0.0398,0.995562,0.450725
0.0399,0.998027,0.467616
0.04,0.999507,0.484046
0.0401,1,0.499998
0.0402,0.999507,0.515457
0.0403,0.998027,0.530407
0.0404,0.995562,0.544834
0.0405,0.992115,0.558722
0.0406,0.987688,0.57206
0.0407,0.982287,0.584833
0.0408,0.975917,0.597029
0.0409,0.968583,0.608635
0.041,0.960294,0.619641
0.0411,0.951057,0.630036
0.0412,0.940881,0.639808
0.0413,0.929777,0.648949
0.0414,0.917755,0.65745
0.0415,0.904827,0.665302
0.0416,0.891007,0.672497
0.0417,0.876307,0.679029
0.0418,0.860742,0.684891
0.0419,0.844328,0.690076
0.042,0.827081,0.694581
0.0421,0.809017,0.6984
0.0422,0.790155,0.70153
0.0423,0.770513,0.703968
0.0424,0.750111,0.705711
0.0425,0.728969,0.706757
0.0426,0.707107,0.707106
0.0427,0.684547,0.706757
0.0428,0.661312,0.705711
0.0429,0.637424,0.703968
0.043,0.612907,0.70153
0.0431,0.587786,0.698401
0.0432,0.562084,0.694581
0.0433,0.535827,0.690077
0.0434,0.509042,0.684891
0.0435,0.481754,0.67903
0.0436,0.453991,0.672498
0.0437,0.42578,0.665303
0.0438,0.397148,0.657451
0.0439,0.368125,0.64895
0.044,0.338738,0.639809
0.0441,0.309017,0.630036
0.0442,0.278991,0.619642
0.0443,0.24869,0.608636
0.0444,0.218144,0.59703
0.0445,0.187382,0.584834
0.0446,0.156435,0.572061
0.0447,0.125334,0.558724
0.0448,0.0941085,0.544835
0.0449,0.0627907,0.530408
0.045,0.0314111,0.515458
0.0451,1.94707e-07,0.5
0.0452,-0.0314105,0.484048
0.0453,-0.0627903,0.467618
0.0454,-0.094108,0.450727
0.0455,-0.125333,0.433391
0.0456,-0.156434,0.415627
0.0457,-0.187381,0.397453
0.0458,-0.218143,0.378887
0.0459,-0.24869,0.359947
0.046,-0.278991,0.340651
0.0461,-0.309017,0.32102
0.0462,-0.338738,0.301071
0.0463,-0.368124,0.280826
0.0464,-0.397148,0.260303
0.0465,-0.425779,0.239524
0.0466,-0.45399,0.218508
0.0467,-0.481753,0.197276
0.0468,-0.509041,0.17585
0.0469,-0.535827,0.154251
0.047,-0.562083,0.132499
0.0471,-0.587785,0.110616
0.0472,-0.612907,0.088624
0.0473,-0.637424,0.0665447
0.0474,-0.661312,0.0443996
0.0475,-0.684547,0.0222108
0.0476,-0.707107,3.47505e-08
0.0477,-0.728969,-0.0222107
0.0478,-0.750111,-0.0443996
0.0479,-0.770513,-0.0665446
0.048,-0.790155,-0.0886239
0.0481,-0.809017,-0.110616
0.0482,-0.82708,-0.132499
0.0483,-0.844328,-0.154251
0.0484,-0.860742,-0.17585
0.0485,-0.876307,-0.197276
0.0486,-0.891006,-0.218508
0.0487,-0.904827,-0.239524
0.0488,-0.917754,-0.260303
0.0489,-0.929776,-0.280826
0.049,-0.940881,-0.301071
0.0491,-0.951056,-0.32102
0.0492,-0.960294,-0.340651
0.0493,-0.968583,-0.359947
0.0494,-0.975917,-0.378887
0.0495,-0.982287,-0.397453
0.0496,-0.987688,-0.415627
0.0497,-0.992115,-0.433391
0.0498,-0.995562,-0.450727
0.0499,-0.998027,-0.467618
0.05,-0.999507,-0.484048
0.0501,-1,-0.5
0.0502,-0.999507,-0.515459
0.0503,-0.998027,-0.530409
0.0504,-0.995562,-0.544835
0.0505,-0.992115,-0.558724
0.0506,-0.987688,-0.572061
0.0507,-0.982287,-0.584834
0.0508,-0.975917,-0.59703
0.0509,-0.968583,-0.608636
0.051,-0.960294,-0.619642
0.0511,-0.951057,-0.630037
0.0512,-0.940881,-0.639809
0.0513,-0.929777,-0.648951
0.0514,-0.917755,-0.657451
0.0515,-0.904827,-0.665303
0.0516,-0.891007,-0.672499
0.0517,-0.876307,-0.67903
0.0518,-0.860742,-0.684892
0.0519,-0.844328,-0.690077
0.052,-0.827081,-0.694582
0.0521,-0.809017,-0.698401
0.0522,-0.790155,-0.701531
0.0523,-0.770513,-0.703969
0.0524,-0.750111,-0.705711
0.0525,-0.728969,-0.706758
0.0526,-0.707107,-0.707107
