# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0261,-0.809017,-0.349154
0.0262,-0.770513,-0.330508
0.0263,-0.728969,-0.310679
0.0264,-0.684547,-0.289752
0.0265,-0.637424,-0.267816
0.0266,-0.587785,-0.244964
0.0267,-0.535827,-0.221291
0.0268,-0.481754,-0.196895
0.0269,-0.425779,-0.171878
0.027,-0.368125,-0.146341
0.0271,-0.309017,-0.120388
0.0272,-0.24869,-0.0941242
0.0273,-0.187382,-0.0676542
0.0274,-0.125333,-0.0410832
0.0275,-0.0627905,-0.0145174
0.0276,-4.64912e-07,0.0119388
0.0277,0.0627901,0.0381829
0.0278,0.125333,0.0641124
0.0279,0.187381,0.0896275
0.028,0.24869,0.114631
0.0281,0.309017,0.139025
0.0282,0.368124,0.162721
0.0283,0.425779,0.185628
0.0284,0.481753,0.207662
0.0285,0.535827,0.22874
0.0286,0.587785,0.248786
0.0287,0.637424,0.267729
0.0288,0.684547,0.2855
0.0289,0.728969,0.302036
0.029,0.770513,0.31728
0.0291,0.809017,0.33118
0.0292,0.844328,0.343691
0.0293,0.876307,0.354772
0.0294,0.904827,0.364387
0.0295,0.929776,0.372508
0.0296,0.951056,0.379113
0.0297,0.968583,0.384185
0.0298,0.982287,0.387714
0.0299,0.992115,0.389696
0.03,0.998027,0.390132
0.0301,1,0.38903
0.0302,0.998027,0.386405
0.0303,0.992115,0.382276
0.0304,0.982287,0.376669
0.0305,0.968583,0.369616
0.0306,0.951057,0.361152
0.0307,0.929777,0.35132
0.0308,0.904827,0.340168
0.0309,0.876307,0.327747
0.031,0.844328,0.314115
0.0311,0.809017,0.299332
0.0312,0.770514,0.283464
0.0313,0.728969,0.26658
0.0314,0.684547,0.248753
0.0315,0.637424,0.230059
0.0316,0.587786,0.210577
0.0317,0.535827,0.190388
0.0318,0.481754,0.169577
0.0319,0.42578,0.148229
0.032,0.368125,0.126431
0.0321,0.309017,0.104272
0.0322,0.24869,0.0818421
0.0323,0.187382,0.0592304
0.0324,0.125334,0.0365271
0.0325,0.062791,0.0138224
0.0326,4.33126e-07,-0.00879476
0.0327,-0.0627901,-0.0312357
0.0328,-0.125333,-0.0534132
0.0329,-0.187381,-0.0752418
0.033,-0.24869,-0.0966379
0.0331,-0.309017,-0.11752
0.0332,-0.368124,-0.137808
0.0333,-0.425779,-0.157428
0.0334,-0.481753,-0.176306
0.0335,-0.535826,-0.194371
0.0336,-0.587785,-0.211559
0.0337,-0.637424,-0.227807
0.0338,-0.684547,-0.243057
0.0339,-0.728969,-0.257256
0.034,-0.770513,-0.270353
0.0341,-0.809017,-0.282305
0.0342,-0.844328,-0.293071
0.0343,-0.876307,-0.302617
0.0344,-0.904827,-0.310913
0.0345,-0.929776,-0.317933
0.0346,-0.951056,-0.323659
0.0347,-0.968583,-0.328076
0.0348,-0.982287,-0.331174
0.0349,-0.992115,-0.33295
0.035,-0.998027,-0.333405
0.0351,-1,-0.332545
0.0352,-0.998027,-0.330383
0.0353,-0.992115,-0.326934
0.0354,-0.982287,-0.322221
0.0355,-0.968583,-0.316269
0.0356,-0.951057,-0.309111
0.0357,-0.929777,-0.300781
0.0358,-0.904827,-0.29132
0.0359,-0.876307,-0.280772
0.036,-0.844328,-0.269185
0.0361,-0.809017,-0.256613
0.0362,-0.770514,-0.243109
0.0363,-0.728969,-0.228733
0.0364,-0.684547,-0.213547
0.0365,-0.637424,-0.197616
0.0366,-0.587785,-0.181008
0.0367,-0.535827,-0.163791
0.0368,-0.481754,-0.146038
0.0369,-0.425779,-0.127821
0.037,-0.368125,-0.109215
0.0371,-0.309017,-0.0902965
0.0372,-0.24869,-0.0711413
0.0373,-0.187382,-0.0518257
0.0374,-0.125334,-0.0324271
0.0375,-0.062791,-0.0130224
0.0376,-4.64912e-07,0.0063121
0.0377,0.0627901,0.0255008
0.0378,0.125333,0.044469
0.0379,0.187381,0.0631435
0.038,0.24869,0.0814527
0.0381,0.309017,0.0993269
0.0382,0.368124,0.116698
0.0383,0.425779,0.133502
0.0384,0.481753,0.149675
0.0385,0.535827,0.165159
0.0386,0.587785,0.179895
0.0387,0.637423,0.193831
0.0388,0.684547,0.206918
0.0389,0.728969,0.219109
0.039,0.770513,0.230361
0.0391,0.809017,0.240637
0.0392,0.844328,0.249901
0.0393,0.876306,0.258125
0.0394,0.904827,0.265281
0.0395,0.929776,0.27135
0.0396,0.951056,0.276312
0.0397,0.968583,0.280156
0.0398,0.982287,0.282875
0.0399,0.992115,0.284463
0.04,0.998027,0.284922
0.0401,1,0.284257
0.0402,0.998027,0.282479
0.0403,0.992115,0.2796
0.0404,0.982287,0.275639
0.0405,0.968583,0.270618
0.0406,0.951057,0.264564
0.0407,0.929777,0.257508
0.0408,0.904827,0.249482
0.0409,0.876307,0.240525
0.041,0.844328,0.230678
0.0411,0.809017,0.219985
0.0412,0.770514,0.208493
0.0413,0.728969,0.196253
0.0414,0.684548,0.183318
0.0415,0.637424,0.169742
0.0416,0.587786,0.155584
0.0417,0.535827,0.140902
0.0418,0.481754,0.125757
0.0419,0.42578,0.110213
0.042,0.368125,0.0943325
0.0421,0.309018,0.0781802
0.0422,0.24869,0.0618213
0.0423,0.187382,0.0453217
0.0424,0.125334,0.0287471
0.0425,0.0627911,0.0121631
0.0426,5.52335e-07,-0.00436501
0.0427,-0.06279,-0.0207725
0.0428,-0.125333,-0.0369954
0.0429,-0.187381,-0.0529714
0.043,-0.248689,-0.0686388
0.0431,-0.309016,-0.0839382
0.0432,-0.368124,-0.0988117
0.0433,-0.425779,-0.113203
0.0434,-0.481753,-0.127059
0.0435,-0.535826,-0.140329
0.0436,-0.587785,-0.152963
0.0437,-0.637424,-0.164917
0.0438,-0.684547,-0.176147
